feedback,age,gender,race,ethnicity,id,time,timestamp
I was influenced by the level of brittleness and how many machines they could have made as well as the risk taken. ,18,Female,Black/African American,Non-Hispanic,6963,378892,10/14/21 0:21
It seemed like both gears were always extremely useful,20,Male,Asian,,6812,279932,10/14/21 4:31
,20,Female,Black/African American,Non-Hispanic,6961,505728,10/14/21 5:21
"The factors were if it was the best gear used and by the kinds of gears they had. Many had better gears to use but chose poor gears. However, there wear some towns that only had brittle gears and in that case they chose wisely because all of their gears were brittle and it would not have made a huge difference.",22,Male,White,Non-Hispanic,6955,1238131,10/14/21 21:23
I wasn't exactly sure what it meant for a gear to be responsible for the success - did it succeed everytime even though one was very brittle. I'm interpreting it so that if a less brittle gear was chosen out of a majority of less brittle gears then it wasn't as responsible because any other gear could be chosen and will succeed.,20,Female,Asian,Non-Hispanic,6784,485383,10/14/21 23:54
,18,Female,Asian,Non-Hispanic,6826,389434,10/15/21 5:31
"The definitions were pretty unclear, but I basically thought about gears' relative importance in terms of their relative likelihood of being the tipping point gear; to formalize, perhaps the chance that that the rest of the gears of the same color break AND that that gear does not break when assembling the machine.",20,Male,Asian,Non-Hispanic,6759,561368,10/16/21 2:23
"One factor that determined how I evaluated responsibility was whether there were other gears of the same or more durability that could have done the same job. The 'rarer' a high durability gear was, the more likely I was to rate it as having more responsibility. If there was a lone gear that would have left the machine broken otherwise, this gear also ranked high on responsibility.",21,Male,White,Hispanic,6778,634780,10/17/21 2:20
,21,Female,Asian,Non-Hispanic,6452,39412333,10/17/21 7:50
,20,Female,White,Non-Hispanic,6792,287571,10/17/21 8:07
,20,Female,White,Non-Hispanic,6794,209441,10/17/21 20:03
The brittleness of the gears,19,Male,Black/African American,Non-Hispanic,6976,609141,10/17/21 23:55
"A green gear was more useful than a red one, and the more rare green ones were, the more useful they were. Also, if there was one of each color (yellow or blue), then they were very useful since the machine wouldn't be complete without them.",21,Female,Asian,Non-Hispanic,6789,429623,10/18/21 7:04
Availability mainly influenced my decisions!,20,Male,Latinx/Hispanic/Caribbean,Hispanic,6935,634004,10/19/21 3:45
,19,Female,Brown,Hispanic,6787,915740,10/19/21 6:51
The level of brittleness of a gear,19,Male,Asian,Non-Hispanic,6979,627789,10/19/21 7:45
"By seeing how brittle each gear is and how many gears are there between the two villages.
",19,Male,White,Hispanic,6954,191683,10/19/21 19:45
"As I made more and more decisions, I came to realize that a low green bar was just as likely to fail as a high red bar. I did not realize this fact until late in the experiment. ",20,Male,Asian,Non-Hispanic,6951,425657,10/19/21 23:01
The gears in most cases are equally responsible for the success since you need two gears for the machine to work.,19,Male,White,Non-Hispanic,6977,453284,10/21/21 7:07
"I just figured that if a gear is in the final machine, then it is 100% responsible for the success.",20,Male,Asian,Non-Hispanic,6805,320678,10/21/21 8:55
"Because all the machines were successful, I rated the gears all fairly high regardless of if they were brittle or not.However, I rated green gears higher since durability means it most likely will support the machine longer.",18,Female,Asian,Non-Hispanic,6824,325231,10/22/21 0:28
,20,Prefer not to say,Prefer not to say,Non-Hispanic,6982,520404,10/22/21 21:29
"If the ones used were more brittle, the amount of brittleness of the other gears and the amount of gears the village had.",19,Female,Black/African American,Hispanic,6673,386894,10/23/21 23:21
"If the village had a lot of other gears, especially less brittle gears, the impact of the individual gear felt less important. If one gear in the machine was more brittle than the other gear in the machine, the contribution of that gear also felt less important. 

The experiment was a little confusing. ",22,Female,White,Non-Hispanic,6940,1760490,10/24/21 2:54
How much the surrounding matched,18,Female,White,Hispanic,6838,374509,10/25/21 6:34
"I think I may have misunderstood this study. I gave every gear a very much because if it was used in the end for the machine and it was successful, wouldn't they all equally contribute very much to the machine? I'm not sure if I missed the point of the study. ",18,Female,Asian,Non-Hispanic,6889,393530,10/25/21 9:34
,19,Female,White,Non-Hispanic,6974,296965,10/25/21 21:16
The majority of my responses were based on how close the two gears being used were in terms of brittleness. The least responsible pairings would be a gear that is not brittle with one that is brittle because the breaking of the brittle one would effectively put the nonbrittle one out of use. ,22,Male,White,,6970,524578,10/25/21 21:49
