feedback,age,gender,race,ethnicity,id,time,timestamp
Since each craftsman agreed to do their essential step why would there be a difference in responsibility when each person is tasked with a necessary job.,19,Male,Asian and White,Non-Hispanic,6715,439077,8/20/21 4:18
"I think that because both positions were said to be necessary, I placed both workers close to equal importance most of the time. I placed one worker as slightly more important over the other when they were busy and the other was not.",19,Male,White,Hispanic,6738,767308,8/20/21 7:42
I don't have any questions.,19,Male,Mixed,Non-Hispanic,6727,1020457,8/23/21 0:35
I have no questions.,19,Male,Mixed,Non-Hispanic,6727,91064,8/23/21 0:41
"I believe that it does not matter how busy the people are or how many available workers there were -- each craftsperson had a choice, and because they each said yes and did their part, they were both equally very important to the success of the project. Without any one person, regardless of how busy they were or how much demand there was, the project would be a failure. Therefore, every worker is very much important to the success.",21,Female,White,Non-Hispanic,6693,575406,8/23/21 18:37
"Every single time, I said that both craftsmen were very much responsible for the success no matter how busy one of them was or how many craftspeople of each type resided on their respective islands because the task was a two person job, and both had to do their own tasks in full. Regardless of how inopportune it was for one of them to help out, the end result (the completed boat) was a creation of the both of them.",19,Male,White,Hispanic,6737,658427,8/24/21 0:11
,21,Male,White,Hispanic,6753,314180,8/25/21 4:39
,22,Female,White,Non-Hispanic,6669,178769,8/25/21 15:31
The availability of each tailor and carpenter.,20,Male,Mixed,Hispanic,6733,1102006,8/25/21 20:42
,20,Male,,Non-Hispanic,6754,305138,8/26/21 3:46
Was this person taking on too much work? Was there anyone else that could've taken the job for them based off of workload (green bar)? Are they the only person on their team who is willing/able to do their task?,21,Male,Black/AA + Asian,Non-Hispanic,6739,551024,8/26/21 20:58
#NAME?,20,Male,Asian,Non-Hispanic,6667,293350,8/26/21 21:33
I would look at the relative busyness of each profession and compare it to the people saying yes - I did feel like being able to see everyones responses each round would have helped in my assessment of level of responsibility ,22,Male,White,Non-Hispanic,6749,636167,8/26/21 23:29
"Every ship requires one of each craftsmen to build it. They are equally responsible for the success regardless of the supply and demand. If you asked me how much we should compensate each of them, I'd have answered differently, but when it comes to responsibility for success, it seems that it's shared equally in all of these cases.",21,Male,MENA,,6722,309780,8/27/21 1:31
"The business of the other craftspeople indicated to me whether or not the craftsperson was in high demand or not, which influenced my decision",20,Female,Asian,Non-Hispanic,6725,311754,8/27/21 21:27
